Image,Original Name,Word Count Range,Article Number,Image Sequence,Font Size,Blur Level,Background Color,Gold Label,Response,WER,CER,word_count
1,110-130_10_01_base_12.jpg,110-130,10,1,12,0.0,white,"23 ноябри соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Зимни мулоқот аз ҷониби Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон масъалаҳо роҷеъ ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон дар минтақаҳои боқимонда баррасӣ гардида, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супоришҳои мушахас доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.","23 ноябри соли 2024 дар шаҳри Бӯстон вилояти Суғд мулоқоти навбатии ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймуъмин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Зимни мулоқот аз ҷониби роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон масъалаҳо роҷеъ ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон дар минтақаҳои боқимонда баррасӣ гардида, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон чӣ гуна идома додани кор дар ин самт супоришҳо мушахас доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.",0.058823529411764705,0.02463605823068309,119
2,110-130_10_02_base_18.jpg,110-130,10,2,18,0.0,white,"23 ноябри соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Зимни мулоқот аз ҷониби Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон масъалаҳо роҷеъ ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон дар минтақаҳои боқимонда баррасӣ гардида, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супоришҳои мушахас доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.","23 ноябри соли 2024 дар шаҳри Бӯстон вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Зимни мулоқот аз ҷониби Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон масъалаҳо роҷеъ ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон дар минтақаҳои боқимонда баррасӣ гардида, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супоришҳои мушаххас доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.",0.01680672268907563,0.0022396416573348264,119
3,110-130_10_02_base_18_bg-light_yellow.jpg,110-130,10,2,18,0.0,light_yellow,"23 ноябри соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Зимни мулоқот аз ҷониби Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон масъалаҳо роҷеъ ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон дар минтақаҳои боқимонда баррасӣ гардида, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супоришҳои мушахас доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.","23 ноябри соли 2024 дар шаҳри Бӯстон вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Зимни мулоқот аз ҷониби Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон масъалаҳо роҷеъ ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон дар минтақаҳои боқимонда баррасӣ гардида, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супоришҳои мушаххас доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.",0.01680672268907563,0.0022396416573348264,119
4,110-130_10_02_base_18_bg-slate_gray.jpg,110-130,10,2,18,0.0,slate_gray,"23 ноябри соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Зимни мулоқот аз ҷониби Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон масъалаҳо роҷеъ ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон дар минтақаҳои боқимонда баррасӣ гардида, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супоришҳои мушахас доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.","23 ноябри соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Зимни мулоқот аз ҷониби роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон масъалаҳо роҷеъ ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон дар минтақаҳои боқимонда баррасӣ гардиданд, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супоришҳои мушаххас доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.",0.025210084033613446,0.004479283314669653,119
5,110-130_10_02_base_18_blur-0.75.jpg,110-130,10,2,18,0.75,white,"23 ноябри соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Зимни мулоқот аз ҷониби Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон масъалаҳо роҷеъ ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон дар минтақаҳои боқимонда баррасӣ гардида, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супоришҳои мушахас доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.","23 ноябри соли 2024 дар шаҳри Бӯстон вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Зимни мулоқот аз ҷониби Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон масъалаҳо роҷеъ ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон дар минтақаҳои боқимонда баррасӣ гардида, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супоришҳои мушаххас доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.",0.01680672268907563,0.0022396416573348264,119
6,110-130_10_02_base_18_blur-1.5.jpg,110-130,10,2,18,1.5,white,"23 ноябри соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Зимни мулоқот аз ҷониби Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон масъалаҳо роҷеъ ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон дар минтақаҳои боқимонда баррасӣ гардида, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супоришҳои мушахас доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.","23 ноябри соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Зимни мулоқот аз ҷониби Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон масъалаҳои рочеъ ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон дар минтақаҳои боқимонда баррасӣ гардида, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супоришҳои мушаххас доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.",0.025210084033613446,0.0033594624860022394,119
7,110-130_10_03_base_24.jpg,110-130,10,3,24,0.0,white,"23 ноябри соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Зимни мулоқот аз ҷониби Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон масъалаҳо роҷеъ ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон дар минтақаҳои боқимонда баррасӣ гардида, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супоришҳои мушахас доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.","23 ноябри соли 2024 дар шаҳри Бӯстони вилояти Суғд мулоқоти навбатии ҳамраисони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон — Саймумин Ятимов ва Қамчибек Ташиев баргузор гардид. Дар ин хусус АМИТ «Ховар» бо истинод ба Кумитаи давлатии амнияти миллии Ҷумҳурии Тоҷикистон хабар медиҳад. Зимни мулоқот аз ҷониби Роҳбарони ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон масъалаҳо роҷеъ ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон дар минтақаҳои боқимонда баррасӣ гардида, ба гурӯҳҳои кории ҳайатҳои ҳукуматии Ҷумҳурии Тоҷикистон ва Ҷумҳурии Қирғизистон оид ба делимитатсия ва демаркатсияи сарҳади давлатии Тоҷикистон ва Қирғизистон ҷиҳати идома додани кор дар ин самт супоришҳои мушаххас доданд. Мулоқот дар фазои дӯстӣ ва ҳамдигарфаҳмӣ баргузор гардид.",0.008403361344537815,0.0011198208286674132,119
8,110-130_11_01_base_12.jpg,110-130,11,1,12,0.0,white,"Дар шаҳри Ашқободи Туркманистон масъалаҳои марбут ба бешаҳрвандӣ, бақайдгирии таваллуди кӯдакон дар давлатҳои Осиёи Марказӣ ва мубодилаи таҷриба дар ҳалли мушкилоти бешаҳрвандӣ зимни конференсияи вазоратии Осиёи Марказӣ дар мавзуи «Маҳви бешаҳрвандӣ дар Осиёи Марказӣ» баррасӣ гардиданд. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон иттилоъ доданд. Конференсия бо ташаббуси Раёсати Комиссарии Олии Созмони Милали Муттаҳид оид ба паноҳандагон доир шуда, дар он намояндагони Созмони Милали Муттаҳид, Қазоқистон, Тоҷикистон, Узбекистон, Қирғизистон ва Туркманистон сухан гуфтанд. Намояндагони Ҷумҳурии Тоҷикистон зимни ин конференсия оид ба иқдоми давлату ҳукумати мамлакат дар самти кам кардани бешаҳрвандӣ, ҳамкорӣ бо ташкилоти байналмилалӣ ва роҳҳои ҳалли мушкилоти ҷойдошта ибрози назар намуданд. АКС: Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон","Дар шаҳри Ашқободи Туркманистон масъалаҳои марбут ба бешаҳрвандӣ, бақайдгирии таваллуди кӯдакон дар давлатҳои Осиёи Марказӣ ва мубодилаи таҷриба дар ҳалли мушкилоти бешаҳрвандӣ зимни конференсияи вазоратии Осиёи Марказӣ дар мавзӯи «Маҳви бешаҳрвандӣ дар Осиёи Марказӣ» баррасӣ гардиданд. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон иттилоъ доданд. Конференсия бо ташаббуси Раёсати Комиссари Олии Созмони Милали Муттаҳид оид ба паноҳандагон доир шуда, дар он намояндагони Созмони Милали Муттаҳид, Қазоқистон, Тоҷикистон, Ӯзбекистон, Қирғизистон ва Туркманистон сухан гуфтанд. Намояндагони Ҷумҳурии Тоҷикистон зимни ин конференсия оид ба иқдоми давлати ҳукумати мамлакат дар самти кам кардани бешаҳрвандӣ, ҳамкорӣ бо ташкилоти байналмилалӣ ва роҳҳои ҳалли мушкилоти ҷойдошта изҳори назар намуданд. АКС: Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон",0.04424778761061947,0.007972665148063782,113
9,110-130_11_02_base_18.jpg,110-130,11,2,18,0.0,white,"Дар шаҳри Ашқободи Туркманистон масъалаҳои марбут ба бешаҳрвандӣ, бақайдгирии таваллуди кӯдакон дар давлатҳои Осиёи Марказӣ ва мубодилаи таҷриба дар ҳалли мушкилоти бешаҳрвандӣ зимни конференсияи вазоратии Осиёи Марказӣ дар мавзуи «Маҳви бешаҳрвандӣ дар Осиёи Марказӣ» баррасӣ гардиданд. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон иттилоъ доданд. Конференсия бо ташаббуси Раёсати Комиссарии Олии Созмони Милали Муттаҳид оид ба паноҳандагон доир шуда, дар он намояндагони Созмони Милали Муттаҳид, Қазоқистон, Тоҷикистон, Узбекистон, Қирғизистон ва Туркманистон сухан гуфтанд. Намояндагони Ҷумҳурии Тоҷикистон зимни ин конференсия оид ба иқдоми давлату ҳукумати мамлакат дар самти кам кардани бешаҳрвандӣ, ҳамкорӣ бо ташкилоти байналмилалӣ ва роҳҳои ҳалли мушкилоти ҷойдошта ибрози назар намуданд. АКС: Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон","Дар шаҳри Ашқободи Туркманистон масъалаҳои марбут ба бешаҳрвандӣ, бақайдгирии таваллуди кӯдакон дар давлатҳои Осиёи Марказӣ ва мубодилаи таҷриба дар ҳалли мушкилоти бешаҳрвандӣ зимни конфронсияи вазоратии Осиёи Марказӣ дар мавзӯи «Маҳви бешаҳрвандӣ дар Осиёи Марказӣ» баррасӣ гардиданд. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон иттилоъ доданд. Конференсия бо ташаббуси Раёсати Комиссариати Олии Созмони Милали Муттаҳид оид ба паноҳандагон доир шуда, дар он намояндагони Созмони Милали Муттаҳид, Қазоқистон, Тоҷикистон, Ӯзбекистон, Қирғизистон ва Туркманистон сухан гуфтанд. Намояндагони Ҷумҳурии Тоҷикистон зимни ин конференсия оид ба иқдоми давлату ҳукумати мамлакат дар самти кам кардани бешаҳрвандӣ, ҳамкорӣ бо ташкилоти байналмилалӣ ва роҳҳои ҳалли мушкилоти ҷойдошта ибрози назар намуданд. АКС: Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон",0.035398230088495575,0.00683371298405467,113
10,110-130_11_02_base_18_bg-light_yellow.jpg,110-130,11,2,18,0.0,light_yellow,"Дар шаҳри Ашқободи Туркманистон масъалаҳои марбут ба бешаҳрвандӣ, бақайдгирии таваллуди кӯдакон дар давлатҳои Осиёи Марказӣ ва мубодилаи таҷриба дар ҳалли мушкилоти бешаҳрвандӣ зимни конференсияи вазоратии Осиёи Марказӣ дар мавзуи «Маҳви бешаҳрвандӣ дар Осиёи Марказӣ» баррасӣ гардиданд. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон иттилоъ доданд. Конференсия бо ташаббуси Раёсати Комиссарии Олии Созмони Милали Муттаҳид оид ба паноҳандагон доир шуда, дар он намояндагони Созмони Милали Муттаҳид, Қазоқистон, Тоҷикистон, Узбекистон, Қирғизистон ва Туркманистон сухан гуфтанд. Намояндагони Ҷумҳурии Тоҷикистон зимни ин конференсия оид ба иқдоми давлату ҳукумати мамлакат дар самти кам кардани бешаҳрвандӣ, ҳамкорӣ бо ташкилоти байналмилалӣ ва роҳҳои ҳалли мушкилоти ҷойдошта ибрози назар намуданд. АКС: Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон","Дар шаҳри Ашқободи Туркманистон масъалаҳои марбут ба бешаҳрвандӣ, бақайдгирии таваллуди кӯдакон дар давлатҳои Осиёи Марказӣ ва мубодилаи таҷриба дар ҳалли мушкилоти бешаҳрвандӣ зимни конфронсияи вазоратии Осиёи Марказӣ дар мавзӯи «Маҳви бешаҳрвандӣ дар Осиёи Марказӣ» баррасӣ гардиданд. Дар ин хусус ба АМИТ «Ховар» дар Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон иттилоъ доданд. Конфронсия бо ташаббуси Раёсати Комиссариати Олии Созмони Милали Муттаҳид оид ба паноҳандагон доир шуда, дар он намояндагони Созмони Милали Муттаҳид, Қазоқистон, Тоҷикистон, Ӯзбекистон, Қирғизистон ва Туркманистон сухан гуфтанд. Намояндагони Ҷумҳурии Тоҷикистон зимни ин конфронсия оид ба иқдоми давлату ҳукумати мамлакат дар самти кам кардани бешаҳрвандӣ, ҳамкорӣ бо ташкилотҳои байналмилалӣ дар роҳҳои ҳалли мушкилоти ҷойдошта ибрози назар намуданд. АКС: Вазорати корҳои дохилии Ҷумҳурии Тоҷикистон",0.07079646017699115,0.015945330296127564,113
