"ID","Title","Link","Content","Gold Label"
"0","Pak vs Zim: Green Shirts' playing XI for second ODI revealed","https://www.geo.tv/latest/576272-pak-vs-zim-green-shirts-playing-xi-for-second-odi-revealed","The Pakistan Cricket Board (PCB) announced on Monday the playing XI for the second ODI between the Green Shirts and Zimbabwe set to be played at the Queen Sports Club. Two changes have been made to the team. Tayyab Tahir will play in place of Haseebullah Khan, and Mohammad Hasnain has been replaced by Abrar Ahmed. The second ODI at Queens Sports Club tomorrow (Tuesday) will mark Abrar’s debut in ODI cricket. A post shared by Pakistan Cricket (@therealpcb) Moreover, batters Saim Ayub, Abdullah Shafique, and Kamran Ghulam have been retained in the team. Along with skipper and wicketkeeper-batter Mohammad Rizwan, the side includes Salman Ali Agha, Irfan Niazi and Amir Jamal. Haris Rauf will lead the pace department as Faisal Akram’s spin skills will be in action tomorrow against the hosting side. Zimbabwe lead the three-match ODI series by 1-0, having won the first match by 80 runs using the DLS method. They were restricted by Pakistani bowlers on 205 but the visiting team failed to cement themselves and were 60/6 when the rain started to heavily pour in Bulawayo.","sports"
"1","Australia's most successful Olympian retires after glittering career","https://www.geo.tv/latest/576217-australias-most-successful-olympian-retires-after-glittering-career","Australia's most decorated Olympian, Emma McKeon, announced her retirement from all forms of swimming on Monday, bringing an end to a glittering career in which she won 14 medals at three Olympics and 20 at world championships. The 30-year-old sprinter had signalled her retirement earlier this year at the Paris Olympics after winning a gold, silver and bronze in relays to help Australia to its most successful Summer Games. ""I will definitely miss it ... It's brought me a lot of great relationships and shaped me into the person I am,"" McKeon said in the statement confirming her retirement. ""But I'm definitely ready for the next part of my life, which I'm excited for. I don't think I've had the time to reflect on everything yet."" McKeon missed out on the London Olympics as a teenager but hit her stride in Rio in 2016 where she won her first gold in the 4x100 metre relay as well as silvers in two other relays and a bronze in the 200m freestyle. In Tokyo in 2021, she won the 100m and 50m freestyle sprint titles which, along with two relay golds and three bronze medals, gave her the biggest medal haul for a single athlete at the delayed Games. ""She was and will continue to be a great role model for younger athletes,"" said Australia's swimming coach Rohan Taylor. ""She always carried herself with dignity, and while we all saw her grace – the public can not truly appreciate how tough she is."" Taylor and McKeon's uncle, Swimming Australia chief executive Rob Woodhouse, both picked out her triumph in the 100m freestyle in Tokyo, when she finished 0.31 seconds ahead of Hong Kong's Siobhan Haughey, as the highlight of her career. ""The 100m freestyle was one of the greatest races I have ever watched but I have also loved watching her advocate for those coming up through the ranks,"" said Woodhouse. As well as her six Olympic golds and five world titles, McKeon was also part of relay teams which set eight world records in the pool, three of which still stand. Reflecting on missing out on the team for the London Games, McKeon said she hoped her story would inspire young athletes to persist with their dreams. ""You have ups and you have downs. You just keep going along and you keep ticking the boxes. I can't believe where I'm at right now and how I got here,"" she added. ""I want young kids to know that I was once in the same position they are - dreaming of one day doing something big.""","sports"
"2","Brilliant Bumrah leads India to thumping win over Australia in first Test","https://www.geo.tv/latest/576203-brilliant-bumrah-leads-india-to-thumping-win-over-australia-in-first-test","PERTH: India fast bowlers Jasprit Bumrah and Mohammed Siraj took three wickets apiece as the tourists hammered Australia by 295 runs in the first Test at Perth Stadium in Perth, Australia, on Monday. Australia were bowled out for 238 after tea on day four, paceman Harshit Rana wrapping up the fourth innings by clean-bowling keeper Alex Carey for 36 to secure India's 1-0 lead in the five-match series. The last time Australia won a home series after losing the opening Test was 55 years ago against West Indies. ""Fairly disappointing,"" said Australia captain Pat Cummins. ""It was just one of those games where not much went right. We didn't really give ourselves a chance in a few different facets ... so there's a few different areas we've got to clean up."" After electing to bat on a seaming first day, India were all out for 150 before fighting back to dismiss Australia for 104 courtesy of a Bumrah five-fer. Dual centurions Virat Kohli and Yashasvi Jaiswal lifted the tourists to 487-6 declared, setting a massive fourth-innings target of 534 for the hosts. Resuming day four on 12-3, the hosts quickly lost Usman Khawaja (four) after the opener mistimed Siraj (3-51) to wicketkeeper Rishabh Pant. Rana (1-69) bowled with fire, temporarily immobilising Steve Smith with a rib-tickler and getting Travis Head jumping as the pair added 62. Steve Smith, returning to his favoured number four position after an ill-fated opening experiment, fell caught-behind on 17 to Siraj. Head crunched boundaries aplenty on his way to his 89 but fell shy of an eighth Test ton when he edged to Pant off Bumrah (3-42), who picked up eight wickets for the match. Bumrah was captaining the side in place of Rohit Sharma, who missed the match as he recently welcomed his second child but has since rejoined the squad. ""Very happy with the beginning, we were put under pressure in the first innings but the way we responded after that, I'm really proud of the team,"" said Bumrah, who was named Player of the Match for his 8-72 over both innings. ""Obviously, this wicket was a little less spicy than the last one that I played here, but we were really well prepared. ""So I was just telling everyone to have faith in their process and ability, because over here at this moment, you have an opportunity to do something special."" Mitchell Marsh put up 47 before chopping debutant Nitish Kumar Reddy onto his stumps, and Dhrev Jurel showed off his reflexes at short-leg to catch Mitchell Starc (12) off Washington Sundar (2-48) before tea. Washington bowled his Australia spin counterpart Nathan Lyon after the break for a duck as India marched towards a welcome victory, which comes after they were humbled 3-0 at home by New Zealand earlier this month. Tailender Josh Hazlewood remained unbeaten on four. India have held the Border-Gavaskar Trophy since 2016-17. The series moves to Adelaide for the second Test starting on December 6.","sports"
"3","Kylian Mbappe says he's beginning to click with Real Madrid teammates","https://www.geo.tv/latest/576158-kylian-mbappe-says-hes-beginning-to-click-with-real-madrid-teammates","French football star Kylian Mbappe believes he is finally getting up to speed with his Real Madrid teammates after scoring in a 3-0 LaLiga win at Leganes on Sunday. Mbappe, who had played in a central attacking role since joining from Paris Saint-Germain (PSG), went four games without scoring in all competitions before netting the opener against Leganes. The 25-year-old was moved back to his preferred position on the left and combined well with fellow attacker Vinicius Jr, who set up Mbappe's goal. ""Vinicius and I read each other very well. I've got a great relationship with him and he's a great player,"" Mbappe toldReal Madrid TVafter the win. ""I think I put in a good performance. I'm starting to get up to speed with my teammates. I can play in every position and I'm ready to help the team and give my all. ""It's the story of my career. I play on the right, on the left, in the middle and with two up top. It doesn't matter to me. I want to help the team and score goals."" Real, which is one of Portuguese football star Cristiano Ronaldo's former clubs, are second in the league, four points behind Barcelona, who have played one game more. The leaders drew 2-2 at Celta Vigo on Saturday.","sports"
"4","IPL auction records tumble as Pant, Iyer break $3m mark","https://www.geo.tv/latest/576104-ipl-auction-records-tumble-as-pant-iyer-break-3m-mark","RIYADH: Indian wicketkeeper Rishabh Pant became the most expensive player in Indian Premier League (IPL) history Sunday when he sold for a record $3.2 million, as teams splashed out on world-class cricketers for the lucrative Twenty20 tournament. A total of 577 players are up for grabs at the two-day auction in Jeddah, with Pant, England veteran James Anderson and New Zealand all-rounder Rachin Ravindra among the top names. The 2023 record of 247.5 million rupees Kolkata paid to Australian Mitchell Starc was first breached by Punjab Kings, who the IPL said snapped up Shreyas Iyer for a ""handsome"" 267.5 million rupees ($3.17 million). Iyer, 29, captained Kolkata Knight Riders to their third IPL crown this year. New Punjab coach Ricky Ponting, who left Delhi Capitals after this season, said they will make Shreyas captain if he agrees. ""I have worked with him three or four years at Delhi and obviously he is a championship winning captain from last season,"" Ponting said. ""We have got someone there that can do the job if that's the way we decide to go, so I am delighted to have him back."" Shreyas' record rapidly tumbled. The IPL reported Lucknow Super Giants paid a ""gigantic"" 270 million rupees for 27-year-old star keeper Pant. ""Rishabh's history in the IPL and in the sport of cricket is unparallelled in terms of his skill, what he brings to the table,"" Lucknow owner Shashwat Goenka, said of the record buy. ""I think he came at what we had anticipated for him. We are very excited to have him as part of the squad."" Pant made an impressive return to competitive cricket in this year's IPL after a serious car crash in December 2022. He came in as captain of Delhi Capitals but he and the team parted ways. Later on day one Indian all-rounder Venkatesh Iyer hit the jackpot when he went to Kolkata for a whopping $2.81 million after a fierce bidding war with Royal Challengers Bengaluru. Venkatesh, a left-hand batter and right-arm medium pace bowler who was released by Kolkata only to be bought back, became the third-highest buy of the day. The auction started on a sizzling note when Indian quick Arshdeep Singh began a bidding war, which ended with Punjab getting the left-arm pace bowler for $2.13 million. This year, Australian left-arm quick Starc was not retained by Kolkata — and went to Delhi for $1.39 million. Fellow quick Josh Hazlewood went for $1.48 million to Bengaluru, while England fast bowler Jofra Archer cost the same amount for the Rajasthan Royals. New Zealand quick Trent Boult returned to five-time winners Mumbai Indians for $1.48 million. Afghanistan spinner Noor Ahmad had a big pay day as he went to five-time champions Chennai Super Kings for $1.18 million. Gujarat Titans paid $1.87 million for England white-ball skipper Jos Buttler, while India pace bowler Mohammed Shami went to Sunrisers Hyderabad for $1.18 million. Australian David Warner and England's Jonny Bairstow went unsold, but could be brought back later in the auction. The IPL has generated billions in revenue since its inception in 2008, turning the Board of Control for Cricket in India (BCCI) into one of the richest governing bodies in sport. In June 2022 it sold the broadcast rights for five IPL seasons to global media giants for $6.2 billion. The BCCI has sought to broaden the tournament's profile by staging the auction abroad. Last year it was held in Dubai, a regular host for international cricket tournaments. Like Saudi Arabia, it has a large base of prospective fans among its migrant worker population. Putting the auction on in Jeddah is seen as a win-win for a tournament expanding its global reach and a kingdom using sports to improve its image. The IPL is a huge earner for Indian cricket and the tournament makes more than $11 billion for the economy each year. The pioneering IPL helped make Twenty20 cricket hugely popular, spawning copycat events worldwide. Dates for next year's IPL have not been released but seasons usually run from March to May.","sports"
"5","Zimbabwe trump Pakistan by 80 runs through DLS method","https://www.geo.tv/latest/576025-pakistan-win-toss-elect-to-bowl-in-first-odi-against-zimbabwe","Zimbabwe defeated Pakistan through the Duckworth-Lewis (DLS) method by 80 runs in the first one-day international (ODI) of the three-match series on Sunday at Queens Sports Club. The hosts had posted a total of 206 runs after they were bundled out by the Green Shirts in 40.2 overs. Beginning their chase, Pakistan lost wickets in rapid succession taking them to 60/6 in the 21st over of the second innings. The match was then stopped due to rain and later called off, resulting in Zimbabwe to lead ODI series by 1-0. Earlier, Pakistan had won the toss and invited Zimbabwe to bat first. National side spinners — vice captain Salman Ali Agha and debutant Faisal Akram — destroyed Zimbabwe batting lineup for a modest total. Both took three wickets apiece. Aamir Jamal (42/1) and Mohammad Hasnain (43/1) turned out to be the most expensive bowlers for the Green Shirts. Zimbabwe’s Joylord Gumbie (15) got run out in sixth over, then his successor Dion Myers (8) was caught off Agha in 10th. Tadiwanashe Marumani made (29 off 44) before departing on Agha’s ball. Captain Craig Ervine (6 off 12) failed to impress with the bat as Saim Ayub caught him off Haris Rauf. Then Brandon Mavuta (1) was routed by Jamal and Brian Bennett (20) by Faisal. Lower middle order batsman Sikandar Raza (39 off 56) and tail-ender Richard Ngarava (48 off 52) put up modest resistance before Pakistan concluded the innings with opponents’ all out. This is Green Shirts' second ODI series this month after they beat Australia 2-1 in a historic achievement down under earlier this month. In the 15-member squad, Arafat Minhas, Babar Azam, Naseem Shah and Shaheen Shah Afridi have been replaced with uncapped duo of Abrar Ahmed and Ahmed Daniyal along with pacer Shahnawaz Dahani and Tayyab Tahir. Pakistan and Zimbabwe last faced each other in the 50-over format in November 2020 in Rawalpindi where the national side beat the visitors 2-1. Pakistan, on their last visit to Zimbabwe whitewashed the Chevrons in a five-match ODI series in July 2018. The ODI series will be followed by a three-match T20Is at the Queens Sports Club in Bulawayo. Pakistan XI:Mohammad Rizwan (captain), Aamir Jamal, Abdullah Shafique, Faisal Akram, Haris Rauf, Haseebullah Khan, Kamran Ghulam, Mohammad Hasnain, Salman Ali Agha (vice-captain) and Saim Ayub. Zimbabwe XI:Craig Ervine (captain), Brian Bennett, Blessing Muzarabani, Brandon Mavuta, Dion Myers, Joylord Gumbie, Richard Ngarava, Sean Williams, Sikandar Raza, Tadiwanashe Marumani and Trevor Gwandu.","sports"
"6","Max Verstappen wins fourth consecutive Formula One world title","https://www.geo.tv/latest/576036-max-verstappen-wins-fourth-consecutive-formula-one-world-title","Max Verstappen claimed a fourth consecutive Formula One world title under the lights of the Las Vegas Grand Prix on Saturday. The 27-year-old Dutchman came home in fifth place in a race won by George Russell of Mercedes as he became just the sixth man after Michael Schumacher, Lewis Hamilton, Juan Manuel Fangio, Sebastian Vettel and Alain Prost to claim four championships. McLaren's Lando Norris, who was Verstappen's only title rival, finished in sixth place. ""Oh my god what a season, four times, thank you guys,"" Verstappen told his Red Bull team on the radio. ""It's a little more difficult than last year, but we pulled through. Thank you so much guys."" Russell came home 7.313 seconds clear of seven-time champion and Mercedes teammate Hamilton, who had started from 10th on the grid. The Ferraris of Carlos Sainz and Charles Leclerc were in third and fourth places respectively. Norris, in sixth, was 43 seconds adrift ahead of McLaren team-mate Oscar Piastri. Nico Hulkenberg was eighth for Haas ahead of RB's Yuki Tsunoda and Sergio Perez in the second Red Bull. Norris, who needed to outscore Verstappen by three points to keep his title hopes alive, took an extra point for the fastest lap, but his challenge was over. On a dry, windy and milder night in the Nevada desert, the air and track temperature was 18 degrees as Russell made a perfect start from his fourth pole position to lead with Leclerc, from fourth, leaping to second off the grid. Everyone except Fernando Alonso started on mediums, the Spaniard taking softs that lasted only four laps while, at the front, Leclerc made an early bid to pass Russell and Verstappen swept by Pierre Gasly for fourth.","sports"
"7","Murray to join Djokovic's coaching team ahead of Australian Open","https://www.geo.tv/latest/575961-murray-to-join-djokovics-coaching-team-ahead-of-australian-open","Retired tennis great Andy Murray has agreed to join Novak Djokovic's team and will coach him at the Australian Open next year, the Serbian 24-times Grand Slam champion said on Saturday. Briton Murray retired after this year's Olympics in Paris where Djokovic won the gold medal. The two 37-year-olds, both former world number ones, played each other 36 times, with Djokovic winning 25 matches on the ATP Tour. ""We played each other since we were boys, 25 years of being rivals, of pushing each other beyond our limits,"" Djokovic said. ""We had some of the most epic battles in our sport. They called us game changers, risk takers, history makers. I thought our story may be over, turns out it has one final chapter,"" he said. ""It's time for one of my toughest opponents to step into my corner. Welcome on board, coach Andy Murray,"" the athlete added. Djokovic has won nine of his 24 Grand Slams with Goran Ivanisevic as his coach but the Croatian left his team in March. ""I'm going to be joining Novak's team in the off season, helping him to prepare for the Australian Open,"" said Murray, a three-times Grand Slam winner and twice Olympic gold medallist. ""I'm really excited for it and looking forward to spending time on the same side of the net as Novak for a change, helping him to achieve his goals,"" he added. Djokovic did not win a major this year and has slipped to seventh in the world rankings. He will be targeting a record-extending 11th Australian Open crown when the first major of the year begins on January 12.","sports"
"8","Matter of time until Mbappe breaks Real goal drought, says Ancelotti","https://www.geo.tv/latest/575960-matter-of-time-until-mbappe-breaks-real-goal-drought-says-ancelotti","Real Madrid forward Kylian Mbappe has not found the back of the net for more than a month but manager Carlo Ancelotti believes it is only a matter of time before the French forward breaks his drought. Mbappe has scored only one goal in his last seven games and has gone over 400 minutes without netting for Real Madrid in all competitions as he continues to struggle playing as a centre forward. The 25-year-old was also not called up for France during the international break despite being the team captain but Ancelotti said Mbappe was in good spirits in training sessions ahead of Sunday's LaLiga trip to Leganes. ""It happens to all great strikers, he can get frustrated but that's not his case. I see him motivated and happy to train with his teammates,"" Ancelotti told reporters on Saturday. ""Sooner or later he will break that streak of games in which he hasn't scored goals. Tomorrow he will have a great game because it is just a matter of time. ""He has incredible quality and sooner or later he will show it."" Mbappe's position has been debated since his dream move to the Santiago Bernabeu, with many wondering if he should play on the left but Ancelotti has been reluctant to switch Vinicius Jr, their top scorer who plays in the same position. ""I don't think Kylian has ever asked me for a position on the pitch, everyone wants to start in the starting 11,"" Ancelotti said. ""But Mbappe and Vinicius don't have a fixed position on the pitch. It all depends on the match."" Ancelotti also said he did not need to give Mbappe any specific instructions in training but the Italian has been working with defenders Raul Asencio and Ferland Mendy as he deals with an injury crisis at the back. Although David Alaba is on the mend from an anterior cruciate ligament tear, Real have lost Dani Carvajal and Eder Militao to similar injuries. ""We have focused on defence, with Raul Asencio, Mendy, trying out right backs,"" Ancelotti said. With the opportunity to sign reinforcements in the mid-season transfer window, Ancelotti said Real would consider their options after playing Sevilla next month in their last match of 2024.","sports"
"9","Mixed martial arts star McGregor assaulted woman in 2018, finds jury","https://www.geo.tv/latest/575903-mixed-martial-arts-star-mcgregor-assaulted-woman-in-2018-finds-jury","DUBLIN: Irish mixed martial arts fighter Conor McGregor assaulted a woman at a party in Dublin in 2018 and must pay her nearly 250,000 euros ($259,950) in damages, a jury decided on Friday. The jury of eight women and four men reached its verdict in the civil trial at Ireland's high court after six hours and 10 minutes of deliberation. The plaintiff, Nikita Hand, alleged that McGregor sexually assaulted her on December 9, 2018, and that another man, James Lawrence, did the same, the court heard during two weeks of evidence. The jury found that Lawrence did not assault Hand. McGregor left the court through a large scrum of reporters without commenting and later posted on X that he planned to appeal the decision. McGregor, 36, denied the allegation and said he had ""fully consensual sex"" with Hand. He also denied causing bruising to the plaintiff. Hand's lawyer told the jury that when she was referred to a sexual assault treatment unit the day after the alleged assault, a doctor was so concerned that he directed that photographs be taken of her injuries. Hand said that she and a friend made contact with McGregor, who she knew, after a work Christmas party. She said they were driven by McGregor to a party in a penthouse room of a south Dublin hotel where drugs and alcohol were consumed. She said McGregor took her into a bedroom in the penthouse and sexually assaulted her. Speaking outside the court, Hand said she was overwhelmed by the support she had received and that she felt vindicated. ""To all the victims of sexual assault, I hope my story is a reminder that no matter how afraid you might be, speak up, you have a voice and keep on fighting for justice,"" she said.","sports"
