Image,Original Name,Word Count Range,Article Number,Image Sequence,Font Size,Blur Level,Background Color,Gold Label,Response
1,110-130_10_01_base_12.jpg,110-130,10,1,12,0,white,"Ministri për Evropën dhe Punët e Jashtme, Igli Hasani, përcolli sot një mesazh me rastin e 112-vjetorit të diplomacisë shqiptare. Me anë të një video të publikuar në rrjetet socilae ku tregon telegramet e dërguara në kancelaritë evropiane dhe botërore për shpalljen e Pavarësisë së Shqipërisë, ministri Hasani theksoi se Shqipëria do të forcojë pozicionin e vet në arenën ndërkombëtare. “112 vite histori, përkushtim dhe krenari në shërbim të diplomacisë shqiptare.
Sot shënojmë një trashëgimi të jashtëzakonshme të shërbimit diplomatik, një histori përkushtimi ndaj interesave kombëtare, paqes dhe sigurisë.
Me përgjegjësi, ripërtërijmë angazhimin tonë për të forcuar pozicionin e Shqipërisë në arenën ndërkombëtare dhe për të mbështetur komunitetin shqiptar kudo në botë”, shtoi Hasani.","Ministri për Evropën dhe Punët e Jashtme, Igli Hasani, përcolli sot një mesazh me rastin e 112-vjetorit të diplomacisë shqiptare. Me anë të një video të publikuar në rrjetet sociale ku tregon telegramet e dërguara në kancelaritë evropiane dhe botërore për shpalljen e Pavarësisë së Shqipërisë, ministri Hasani theksoi se Shqipëria do të forcojë pozicionin e vet në arenën ndërkombëtare. “112 vite histori, përkushtim dhe krenari në shërbim të diplomacisë shqiptare.

Sot shënojmë një trashëgimi të jashtëzakonshme të shërbimit diplomatik, një histori përkushtimi ndaj interesave kombëtare, paqes dhe sigurisë.

Me përgjegjësi, ripërtërimë angazhimin tonë për të forcuar pozicionin e Shqipërisë në arenën ndërkombëtare dhe për të mbështetur komunitetin shqiptar kudo në botë”, shtoi Hasani."
2,110-130_10_02_base_18.jpg,110-130,10,2,18,0,white,"Ministri për Evropën dhe Punët e Jashtme, Igli Hasani, përcolli sot një mesazh me rastin e 112-vjetorit të diplomacisë shqiptare. Me anë të një video të publikuar në rrjetet socilae ku tregon telegramet e dërguara në kancelaritë evropiane dhe botërore për shpalljen e Pavarësisë së Shqipërisë, ministri Hasani theksoi se Shqipëria do të forcojë pozicionin e vet në arenën ndërkombëtare. “112 vite histori, përkushtim dhe krenari në shërbim të diplomacisë shqiptare.
Sot shënojmë një trashëgimi të jashtëzakonshme të shërbimit diplomatik, një histori përkushtimi ndaj interesave kombëtare, paqes dhe sigurisë.
Me përgjegjësi, ripërtërijmë angazhimin tonë për të forcuar pozicionin e Shqipërisë në arenën ndërkombëtare dhe për të mbështetur komunitetin shqiptar kudo në botë”, shtoi Hasani.","Ministri për Evropën dhe Punët e Jashtme, Igli Hasani, përcolli sot një mesazh me rastin e 112-vjetorit të diplomacisë shqiptare. Me anë të një video të publikuar në rrjetet sociale ku tregon telegramet e dërguara në kancelaritë evropiane dhe botërore për shpalljen e Pavarësisë së Shqipërisë, ministri Hasani theksoi se Shqipëria do të forcojë pozicionin e vet në arenën ndërkombëtare. “112 vite histori, përkushtim dhe krenari në shërbim të diplomacisë shqiptare.

Sot shënojmë një trashëgimi të jashtëzakonshme të shërbimit diplomatik, një histori përkushtimi ndaj interesave kombëtare, paqes dhe sigurisë.

Me përgjegjësi, ripërtërijmë angazhimin tonë për të forcuar pozicionin e Shqipërisë në arenën ndërkombëtare dhe për të mbështetur komunitetin shqiptar kudo në botë”, shtoi Hasani."
3,110-130_10_02_base_18_bg-light_yellow.jpg,110-130,10,2,18,0,light_yellow,"Ministri për Evropën dhe Punët e Jashtme, Igli Hasani, përcolli sot një mesazh me rastin e 112-vjetorit të diplomacisë shqiptare. Me anë të një video të publikuar në rrjetet socilae ku tregon telegramet e dërguara në kancelaritë evropiane dhe botërore për shpalljen e Pavarësisë së Shqipërisë, ministri Hasani theksoi se Shqipëria do të forcojë pozicionin e vet në arenën ndërkombëtare. “112 vite histori, përkushtim dhe krenari në shërbim të diplomacisë shqiptare.
Sot shënojmë një trashëgimi të jashtëzakonshme të shërbimit diplomatik, një histori përkushtimi ndaj interesave kombëtare, paqes dhe sigurisë.
Me përgjegjësi, ripërtërijmë angazhimin tonë për të forcuar pozicionin e Shqipërisë në arenën ndërkombëtare dhe për të mbështetur komunitetin shqiptar kudo në botë”, shtoi Hasani.","Ministri për Evropën dhe Punët e Jashtme, Igli Hasani, përcolli sot një mesazh me rastin e 112-vjetorit të diplomacisë shqiptare. Me anë të një video të publikuar në rrjetet sociale ku tregon telegramet e dërguara në kancelaritë evropiane dhe botërore për shpalljen e Pavarësisë së Shqipërisë, ministri Hasani theksoi se Shqipëria do të forcojë pozicionin e vet në arenën ndërkombëtare. “112 vite histori, përkushtim dhe krenari në shërbim të diplomacisë shqiptare.

Sot shënojmë një trashëgimi të jashtëzakonshme të shërbimit diplomatik, një histori përkushtimi ndaj interesave kombëtare, paqes dhe sigurisë.

Me përgjegjësi, ripërtërijmë angazhimin tonë për të forcuar pozicionin e Shqipërisë në arenën ndërkombëtare dhe për të mbështetur komunitetin shqiptar kudo në botë”, shtoi Hasani."
4,110-130_10_02_base_18_bg-slate_gray.jpg,110-130,10,2,18,0,slate_gray,"Ministri për Evropën dhe Punët e Jashtme, Igli Hasani, përcolli sot një mesazh me rastin e 112-vjetorit të diplomacisë shqiptare. Me anë të një video të publikuar në rrjetet socilae ku tregon telegramet e dërguara në kancelaritë evropiane dhe botërore për shpalljen e Pavarësisë së Shqipërisë, ministri Hasani theksoi se Shqipëria do të forcojë pozicionin e vet në arenën ndërkombëtare. “112 vite histori, përkushtim dhe krenari në shërbim të diplomacisë shqiptare.
Sot shënojmë një trashëgimi të jashtëzakonshme të shërbimit diplomatik, një histori përkushtimi ndaj interesave kombëtare, paqes dhe sigurisë.
Me përgjegjësi, ripërtërijmë angazhimin tonë për të forcuar pozicionin e Shqipërisë në arenën ndërkombëtare dhe për të mbështetur komunitetin shqiptar kudo në botë”, shtoi Hasani.","Ministri për Evropën dhe Punët e Jashtme, Igli Hasani, përcolli sot një mesazh me rastin e 112-vjetorit të diplomacisë shqiptare. Me anë të një video të publikuar në rrjetet sociale ku tregon telegramet e dërguara në kancelaritë evropiane dhe botërore për shpalljen e Pavarësisë së Shqipërisë, ministri Hasani theksoi se Shqipëria do të forcojë pozicionin e vet në arenën ndërkombëtare. “112 vite histori, përkushtim dhe krenari në shërbim të diplomacisë shqiptare.

Sot shënojmë një trashëgimi të jashtëzakonshme të shërbimit diplomatik, një histori përkushtimi ndaj interesave kombëtare, paqes dhe sigurisë.

Me përgjegjësi, ripërtërijmë angazhimin tonë për të forcuar pozicionin e Shqipërisë në arenën ndërkombëtare dhe për të mbështetur komunitetin shqiptar kudo në botë”, shtoi Hasani."
5,110-130_10_02_base_18_blur-0.75.jpg,110-130,10,2,18,0.75,white,"Ministri për Evropën dhe Punët e Jashtme, Igli Hasani, përcolli sot një mesazh me rastin e 112-vjetorit të diplomacisë shqiptare. Me anë të një video të publikuar në rrjetet socilae ku tregon telegramet e dërguara në kancelaritë evropiane dhe botërore për shpalljen e Pavarësisë së Shqipërisë, ministri Hasani theksoi se Shqipëria do të forcojë pozicionin e vet në arenën ndërkombëtare. “112 vite histori, përkushtim dhe krenari në shërbim të diplomacisë shqiptare.
Sot shënojmë një trashëgimi të jashtëzakonshme të shërbimit diplomatik, një histori përkushtimi ndaj interesave kombëtare, paqes dhe sigurisë.
Me përgjegjësi, ripërtërijmë angazhimin tonë për të forcuar pozicionin e Shqipërisë në arenën ndërkombëtare dhe për të mbështetur komunitetin shqiptar kudo në botë”, shtoi Hasani.","Ministri për Evropën dhe Punët e Jashtme, Igli Hasani, përcolli sot një mesazh me rastin e 112-vjetorit të diplomacisë shqiptare. Me anë të një video të publikuar në rrjetet sociale ku tregon telegramet e dërguara në kancelaritë evropiane dhe botërore për shpalljen e Pavarësisë së Shqipërisë, ministri Hasani theksoi se Shqipëria do të forcojë pozicionin e vet në arenën ndërkombëtare. “112 vite histori, përkushtim dhe krenari në shërbim të diplomacisë shqiptare.

Sot shënojmë një trashëgimi të jashtëzakonshme të shërbimit diplomatik, një histori përkushtimi ndaj interesave kombëtare, paqes dhe sigurisë.

Me përgjegjësi, ripërtërijmë angazhimin tonë për të forcuar pozicionin e Shqipërisë në arenën ndërkombëtare dhe për të mbështetur komunitetin shqiptar kudo në botë”, shtoi Hasani."
6,110-130_10_02_base_18_blur-1.5.jpg,110-130,10,2,18,1.5,white,"Ministri për Evropën dhe Punët e Jashtme, Igli Hasani, përcolli sot një mesazh me rastin e 112-vjetorit të diplomacisë shqiptare. Me anë të një video të publikuar në rrjetet socilae ku tregon telegramet e dërguara në kancelaritë evropiane dhe botërore për shpalljen e Pavarësisë së Shqipërisë, ministri Hasani theksoi se Shqipëria do të forcojë pozicionin e vet në arenën ndërkombëtare. “112 vite histori, përkushtim dhe krenari në shërbim të diplomacisë shqiptare.
Sot shënojmë një trashëgimi të jashtëzakonshme të shërbimit diplomatik, një histori përkushtimi ndaj interesave kombëtare, paqes dhe sigurisë.
Me përgjegjësi, ripërtërijmë angazhimin tonë për të forcuar pozicionin e Shqipërisë në arenën ndërkombëtare dhe për të mbështetur komunitetin shqiptar kudo në botë”, shtoi Hasani.","Ministri për Evropën dhe Punët e Jashtme, Igli Hasani, përcolli sot një mesazh me rastin e 112-vjetorit të diplomacisë shqiptare. Me anë të një video të publikuar në rrjetet sociale ku tregon telegramet e dërguara në kancelaritë evropiane dhe botërore për shpalljen e Pavarësisë së Shqipërisë, ministri Hasani theksoi se Shqipëria do të forcojë pozicionin e vet në arenën ndërkombëtare. “112 vite histori, përkushtim dhe krenari në shërbim të diplomacisë shqiptare.

Sot shënojmë një trashëgimi të jashtëzakonshme të shërbimit diplomatik, një histori përkushtimi ndaj interesave kombëtare, paqes dhe sigurisë.

Me përgjegjësi, ripërtërijmë angazhimin tonë për të forcuar pozicionin e Shqipërisë në arenën ndërkombëtare dhe për të mbështetur komunitetin shqiptar kudo në botë”, shtoi Hasani."
7,110-130_10_03_base_24.jpg,110-130,10,3,24,0,white,"Ministri për Evropën dhe Punët e Jashtme, Igli Hasani, përcolli sot një mesazh me rastin e 112-vjetorit të diplomacisë shqiptare. Me anë të një video të publikuar në rrjetet socilae ku tregon telegramet e dërguara në kancelaritë evropiane dhe botërore për shpalljen e Pavarësisë së Shqipërisë, ministri Hasani theksoi se Shqipëria do të forcojë pozicionin e vet në arenën ndërkombëtare. “112 vite histori, përkushtim dhe krenari në shërbim të diplomacisë shqiptare.
Sot shënojmë një trashëgimi të jashtëzakonshme të shërbimit diplomatik, një histori përkushtimi ndaj interesave kombëtare, paqes dhe sigurisë.
Me përgjegjësi, ripërtërijmë angazhimin tonë për të forcuar pozicionin e Shqipërisë në arenën ndërkombëtare dhe për të mbështetur komunitetin shqiptar kudo në botë”, shtoi Hasani.","Ministri për Evropën dhe Punët e Jashtme, Igli Hasani, përcolli sot një mesazh me rastin e 112-vjetorit të diplomacisë shqiptare. Me anë të një video të publikuar në rrjetet sociale ku tregon telegramet e dërguara në kancelaritë evropiane dhe botërore për shpalljen e Pavarësisë së Shqipërisë, ministri Hasani theksoi se Shqipëria do të forcojë pozicionin e vet në arenën ndërkombëtare. “112 vite histori, përkushtim dhe krenari në shërbim të diplomacisë shqiptare.

Sot shënojmë një trashëgimi të jashtëzakonshme të shërbimit diplomatik, një histori përkushtimi ndaj interesave kombëtare, paqes dhe sigurisë.

Me përgjegjësi, ripërtërijmë angazhimin tonë për të forcuar pozicionin e Shqipërisë në arenën ndërkombëtare dhe për të mbështetur komunitetin shqiptar kudo në botë”, shtoi Hasani."
8,110-130_11_01_base_12.jpg,110-130,11,1,12,0,white,"Sali Berisha tha në fjalën e parë në Kuvend pas 11 muajve mungesë, se ky është rikthimi i tij i tretë dhe do të jetë më i suksesshmi. Për  socialistët janë të pashpresë ndërsa demokratët janë shpresa e madhe e shqiptarëve. ”Ju siguroj që rikthimi më i suksesshëm në histori i Sali Berishës do të jetë rikthimi i tretë dhe në këtë aspekt jeni të pashpresë. Ju të pashpresë shqiptarët me shpresë të madhe. Ne jemi shpresa e madhe e shqiptarëve, ne nuk do i zhgënjejmë ata”, u shpreh Berisha. Kujtojmë se Sali Berisha kthehet në parlament pas 11 muajsh pasi ishte në arrest shtëpie për dosjen “Partizani”. Rikthimi i tij përkon me diskutimet për buxhetin.","Sali Berisha tha në fjalën e parë në Kuvend pas 11 muajve mungesë, se ky është rikthimi i tij i tretë dhe do të jetë më i suksesshmi. Për socialistët janë të pashpresë ndërsa demokratët janë shpresa e madhe e shqiptarëve. ""Ju siguroj që rikthimi më i suksesshëm në histori i Sali Berishës do të jetë rikthimi i tretë dhe në këtë aspekt jeni të pashpresë. Ju të pashpresë shqiptarët me shpresë të madhe. Ne jemi shpresa e madhe e shqiptarëve, ne nuk do i zhgënjejmë ata"", u shpreh Berisha. Kujtojmë se Sali Berisha kthehet në parlament pas 11 muajsh pasi ishte në arrest shtëpie për dosjen ""Partizani"". Rikthimi i tij përkon me diskutimet për buxhetin."
9,110-130_11_02_base_18.jpg,110-130,11,2,18,0,white,"Sali Berisha tha në fjalën e parë në Kuvend pas 11 muajve mungesë, se ky është rikthimi i tij i tretë dhe do të jetë më i suksesshmi. Për  socialistët janë të pashpresë ndërsa demokratët janë shpresa e madhe e shqiptarëve. ”Ju siguroj që rikthimi më i suksesshëm në histori i Sali Berishës do të jetë rikthimi i tretë dhe në këtë aspekt jeni të pashpresë. Ju të pashpresë shqiptarët me shpresë të madhe. Ne jemi shpresa e madhe e shqiptarëve, ne nuk do i zhgënjejmë ata”, u shpreh Berisha. Kujtojmë se Sali Berisha kthehet në parlament pas 11 muajsh pasi ishte në arrest shtëpie për dosjen “Partizani”. Rikthimi i tij përkon me diskutimet për buxhetin.","Sali Berisha tha në fjalën e parë në Kuvend pas 11 muajve mungesë, se ky është rikthimi i tij i tretë dhe do të jetë më i suksesshmi. Për socialistët janë të pashpresë ndërsa demokratët janë shpresa e madhe e shqiptarëve. ""Ju siguroj që rikthimi më i suksesshëm në histori i Sali Berishës do të jetë rikthimi i tretë dhe në këtë aspekt jeni të pashpresë. Ju të pashpresë shqiptarët me shpresë të madhe. Ne jemi shpresa e madhe e shqiptarëve, ne nuk do i zhgënjejmë ata"", u shpreh Berisha. Kujtojmë se Sali Berisha kthehet në parlament pas 11 muajsh pasi ishte në arrest shtëpie për dosjen ""Partizani"". Rikthimi i tij përkon me diskutimet për buxhetin."
10,110-130_11_02_base_18_bg-light_yellow.jpg,110-130,11,2,18,0,light_yellow,"Sali Berisha tha në fjalën e parë në Kuvend pas 11 muajve mungesë, se ky është rikthimi i tij i tretë dhe do të jetë më i suksesshmi. Për  socialistët janë të pashpresë ndërsa demokratët janë shpresa e madhe e shqiptarëve. ”Ju siguroj që rikthimi më i suksesshëm në histori i Sali Berishës do të jetë rikthimi i tretë dhe në këtë aspekt jeni të pashpresë. Ju të pashpresë shqiptarët me shpresë të madhe. Ne jemi shpresa e madhe e shqiptarëve, ne nuk do i zhgënjejmë ata”, u shpreh Berisha. Kujtojmë se Sali Berisha kthehet në parlament pas 11 muajsh pasi ishte në arrest shtëpie për dosjen “Partizani”. Rikthimi i tij përkon me diskutimet për buxhetin.","Sali Berisha tha në fjalën e parë në Kuvend pas 11 muajve mungesë, se ky është rikthimi i tij i tretë dhe do të jetë më i suksesshmi. Për socialistët janë të pashpresë ndërsa demokratët janë shpresa e madhe e shqiptarëve. ""Ju siguroj që rikthimi më i suksesshëm në histori i Sali Berishës do të jetë rikthimi i tretë dhe në këtë aspekt jeni të pashpresë. Ju të pashpresë shqiptarët me shpresë të madhe. Ne jemi shpresa e madhe e shqiptarëve, ne nuk do i zhgënjejmë ata"", u shpreh Berisha. Kujtojmë se Sali Berisha kthehet në parlament pas 11 muajsh pasi ishte në arrest shtëpie për dosjen ""Partizani"". Rikthimi i tij përkon me diskutimet për buxhetin."
